Alachua County,271588
Baker County,28532
Bay County,174410
Bradford County,28725
Brevard County,606671
Broward County,1932212
Calhoun County,14489
Charlotte County,187904
Citrus County,149383
Clay County,219575
Collier County,387450
Columbia County,70617
DeSoto County,37082
Dixie County,16663
Duval County,982080
Escambia County,323714
Flagler County,114173
Franklin County,11864
Gadsden County,46226
Gilchrist County,18269
Glades County,13609
Gulf County,14724
Hamilton County,14570
Hardee County,27443
Hendry County,40953
Hernando County,192186
Highlands County,104834
Hillsborough County,1478759
Holmes County,20001
Indian River County,158834
Jackson County,46587
Jefferson County,14394
Lafayette County,8690
Lake County,366742
Lee County,750493
Leon County,299484
Levy County,41699
Liberty County,8575
Madison County,18954
Manatee County,398503
Marion County,368135
Martin County,161301
Miami-Dade County,2832794
Monroe County,77823
Nassau County,89258
Okaloosa County,203951
Okeechobee County,42112
Orange County,1415260
Osceola County,387055
Palm Beach County,1466494
Pasco County,542638
Pinellas County,984054
Polk County,715090
Putnam County,73723
St. Johns County,261900
St. Lucie County,322265
Santa Rosa County,184653
Sarasota County,438816
Seminole County,476727
Sumter County,141422
Suwannee County,45463
Taylor County,22436
Union County,15410
Volusia County,551588
Wakulla County,33981
Walton County,74724
Washington County,25334